"id","device","core_id","reading_mm","reading_reported","date_created"
1,1,400036001751353338363036,300,"2019-09-03 20:56:35.450686","2019-02-28 20:13:17.854849"
2,1,400036001751353338363036,350,"2019-09-03 20:56:35.450686","2019-02-28 20:14:01.929224"
3,1,400036001751353338363036,320,"2019-09-03 20:56:35.450686","2019-02-28 20:14:07.236219"
4,2,400036001751353338363037,320,"2019-09-03 20:56:35.450686","2019-02-28 20:14:15.296851"
5,2,400036001751353338363037,321,"2019-09-03 20:56:35.450686","2019-02-28 20:14:21.424658"
6,2,400036001751353338363037,322,"2019-09-03 20:56:35.450686","2019-02-28 20:14:24.286652"
7,2,400036001751353338363037,322,"2019-09-03 20:56:35.450686","2019-03-03 16:11:41.649759"
8,1,400036001751353338363036,358,"2019-03-04 13:25:14.488","2019-03-04 13:25:14.726482"
9,1,400036001751353338363036,362,"2019-03-04 13:55:36.522","2019-03-04 13:55:36.711661"
10,1,400036001751353338363036,358,"2019-03-04 14:25:59.267","2019-03-04 14:25:59.461346"
11,1,400036001751353338363036,361,"2019-03-04 14:56:21.148","2019-03-04 14:56:21.495507"
12,1,400036001751353338363036,365,"2019-03-04 15:26:42.911","2019-03-04 15:26:43.118669"
13,1,400036001751353338363036,361,"2019-03-04 15:57:03.84","2019-03-04 15:57:03.99124"
14,1,400036001751353338363036,372,"2019-03-04 16:27:24.55","2019-03-04 16:27:24.725725"
15,1,400036001751353338363036,367,"2019-03-04 16:57:46.119","2019-03-04 16:57:46.279589"
16,1,400036001751353338363036,372,"2019-03-04 17:28:10.891","2019-03-04 17:28:11.019027"
17,1,400036001751353338363036,367,"2019-03-04 17:58:34.827","2019-03-04 17:58:35.059882"
18,1,400036001751353338363036,441,"2019-03-04 18:28:56.781","2019-03-04 18:28:56.992863"
19,1,400036001751353338363036,536,"2019-03-04 18:38:59.187","2019-03-04 18:38:59.420981"
20,1,400036001751353338363036,427,"2019-03-04 18:49:01.218","2019-03-04 18:49:01.506079"
21,1,400036001751353338363036,418,"2019-03-04 19:19:20.825","2019-03-04 19:19:21.0174"
22,1,400036001751353338363036,365,"2019-03-04 19:29:23.157","2019-03-04 19:29:23.285464"
23,1,400036001751353338363036,536,"2019-03-04 19:34:25.099","2019-03-04 19:34:25.302346"
24,1,400036001751353338363036,426,"2019-03-04 19:44:25.899","2019-03-04 19:44:26.063137"
25,1,400036001751353338363036,370,"2019-03-04 19:49:27.157","2019-03-04 19:49:27.350846"
26,1,400036001751353338363036,536,"2019-03-04 19:54:27.449","2019-03-04 19:54:27.718932"
27,1,400036001751353338363036,426,"2019-03-04 19:59:28.75","2019-03-04 19:59:28.884472"
28,1,400036001751353338363036,536,"2019-03-04 20:09:30.661","2019-03-04 20:09:30.806613"
29,1,400036001751353338363036,427,"2019-03-04 20:14:32.894","2019-03-04 20:14:33.049447"
30,1,400036001751353338363036,536,"2019-03-04 20:24:35.648","2019-03-04 20:24:35.743671"
31,1,400036001751353338363036,440,"2019-03-04 20:54:55.452","2019-03-04 20:54:55.584634"
